                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.257351       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -9.85803660400782e-04
 9.99429683992583e-01 -9.56709744950393e-04
 9.98063017832965e-01 -8.86363121534382e-04
 9.95573914266674e-01 -7.56007381927896e-04
 9.92086309749559e-01 -5.68662965224085e-04
 9.87686148675057e-01 -3.24842396536790e-04
 9.82330525170640e-01 -1.75530391234672e-05
 9.76011908335692e-01  3.58650617174258e-04
 9.68787467298381e-01  8.05036226111552e-04
 9.60674860259240e-01  1.32424141752337e-03
 9.51675358763677e-01  1.91862527645044e-03
 9.41827652746244e-01  2.58616860512987e-03
 9.31175295355131e-01  3.37291719179466e-03
 9.19730397431178e-01  3.99573565178254e-03
 9.07524559194720e-01  4.38139382022091e-03
 8.94610408070308e-01  4.46666429600560e-03
 8.81009696499435e-01  4.21871555824203e-03
 8.66747905197194e-01  3.57675568279939e-03
 8.51890258171205e-01  2.54378326871388e-03
 8.36469462621421e-01  1.09746153167551e-03
 8.20513485943698e-01 -8.03328062444533e-04
 8.04073832217581e-01 -3.20702461159639e-03
 7.87191529885653e-01 -6.16111107615618e-03
 7.69897919101553e-01 -9.70259121439747e-03
 7.52252341235159e-01 -1.38524600532041e-02
 7.34291349178558e-01 -1.85430109754330e-02
 7.16044924955764e-01 -2.37433534764119e-02
 6.97571640033109e-01 -2.93888194016813e-02
 6.78906186433687e-01 -3.54145013636200e-02
 6.60080312620540e-01 -4.17746167126523e-02
 6.41147517137212e-01 -4.83865497670036e-02
 6.22137650968852e-01 -5.51190079626187e-02
 6.03087998194415e-01 -6.18862423474573e-02
 5.84045042118975e-01 -6.85798578037771e-02
 5.65030897687003e-01 -7.51726420510679e-02
 5.46088602779599e-01 -8.15126381885923e-02
 5.27248673916899e-01 -8.75619465138945e-02
 5.08535950506088e-01 -9.32451879422604e-02
 4.89992355470388e-01 -9.85397534497089e-02
 4.71632114506831e-01 -1.03389659015835e-01
 4.53492503744348e-01 -1.07783283170178e-01
 4.35593302897673e-01 -1.11679849251365e-01
 4.17956065616942e-01 -1.15121445679584e-01
 4.00609748442576e-01 -1.18006102146607e-01
 3.83560931606009e-01 -1.20525470552415e-01
 3.66843215733716e-01 -1.22534714369106e-01
 3.50457316320503e-01 -1.24133557135832e-01
 3.34434484008630e-01 -1.25296054595365e-01
 3.18774100329315e-01 -1.25996036509246e-01
 3.03499623121295e-01 -1.26370070666428e-01
 2.88611293565648e-01 -1.26374480517630e-01
 2.74124386665666e-01 -1.26066343115144e-01
 2.60041455523719e-01 -1.25346650274639e-01
 2.46374872015918e-01 -1.24397614926476e-01
 2.33123443938833e-01 -1.23142682413899e-01
 2.20293777810423e-01 -1.21608693900014e-01
 2.07883282965331e-01 -1.19812225662922e-01
 1.95902956391646e-01 -1.17790791431198e-01
 1.84341253066628e-01 -1.15571736123964e-01
 1.73213930954161e-01 -1.13172033173545e-01
 1.62499176129638e-01 -1.10559641046364e-01
 1.52214602777259e-01 -1.07766390265535e-01
 1.42331759398971e-01 -1.04846419149462e-01
 1.32872111539190e-01 -1.01821521074835e-01
 1.23806439629760e-01 -9.86846549945022e-02
 1.15147623386077e-01 -9.54757199164004e-02
 1.06887208802748e-01 -9.21725661831952e-02
 9.90071115215634e-02 -8.88192407380805e-02
 9.15234043853440e-02 -8.54392173042790e-02
 8.43970428172224e-02 -8.20254445364145e-02
 7.76464790199521e-02 -7.85986597504697e-02
 7.12479082120208e-02 -7.51766597570981e-02
 6.51878662973747e-02 -7.17599461361955e-02
 5.94874721274203e-02 -6.83674838048220e-02
 5.41002464180900e-02 -6.50019885066148e-02
 4.90378786701877e-02 -6.16850211259868e-02
 4.43003497573340e-02 -5.84235289978584e-02
 3.98423597346805e-02 -5.52000017425734e-02
 3.56899752436130e-02 -5.20407470246874e-02
 3.18292350050659e-02 -4.89519652916363e-02
 2.82200072057900e-02 -4.59038869110407e-02
 2.48925247792698e-02 -4.29427514481360e-02
 2.18286683030035e-02 -4.00530717283213e-02
 1.89846947131332e-02 -3.72244139852579e-02
 1.63921917020335e-02 -3.44982684793685e-02
 1.40446346341990e-02 -3.18200720701444e-02
 1.18798249846349e-02 -2.91613022425772e-02
 9.93094518736226e-03 -2.65947558154673e-02
 8.21940795734749e-03 -2.41012906992516e-02
 6.65838622137879e-03 -2.15843902669429e-02
 5.26774192850643e-03 -1.93584252063996e-02
 4.09515753852961e-03 -1.72632113294838e-02
 3.09878859713642e-03 -1.51285921281495e-02
 2.19660773551101e-03 -1.28402426177892e-02
