                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.225546       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -3.11148978527713e-05
 9.99429683992583e-01  7.39400823046783e-06
 9.98063017832965e-01  9.98719946297058e-05
 9.95573914266674e-01  2.69006887870412e-04
 9.92086309749559e-01  5.07477058040477e-04
 9.87686148675057e-01  8.10716173915021e-04
 9.82330525170640e-01  1.18317080590117e-03
 9.76011908335692e-01  1.62700945499796e-03
 9.68787467298381e-01  2.13979301385688e-03
 9.60674860259240e-01  2.72159788278679e-03
 9.51675358763677e-01  3.37332210732935e-03
 9.41827652746244e-01  4.09263063639025e-03
 9.31175295355131e-01  4.89072697216929e-03
 9.19730397431178e-01  5.55671509004124e-03
 9.07524559194720e-01  5.93560720313805e-03
 8.94610408070308e-01  6.05749926991970e-03
 8.81009696499435e-01  5.91724090571447e-03
 8.66747905197194e-01  5.46803079333795e-03
 8.51890258171205e-01  4.70526491081359e-03
 8.36469462621421e-01  3.58727675689659e-03
 8.20513485943698e-01  2.10443905519462e-03
 8.04073832217581e-01  2.24541342330135e-04
 7.87191529885653e-01 -2.08622564170385e-03
 7.69897919101553e-01 -4.85235223651196e-03
 7.52252341235159e-01 -8.05509465924360e-03
 7.34291349178558e-01 -1.16825740510782e-02
 7.16044924955764e-01 -1.57309910887703e-02
 6.97571640033109e-01 -2.02805395545571e-02
 6.78906186433687e-01 -2.53423349264816e-02
 6.60080312620540e-01 -3.07048340236280e-02
 6.41147517137212e-01 -3.63172181262503e-02
 6.22137650968852e-01 -4.20948382708915e-02
 6.03087998194415e-01 -4.79580169377927e-02
 5.84045042118975e-01 -5.38366668698795e-02
 5.65030897687003e-01 -5.96468904236676e-02
 5.46088602779599e-01 -6.52937532676175e-02
 5.27248673916899e-01 -7.07212994353293e-02
 5.08535950506088e-01 -7.58751207904525e-02
 4.89992355470388e-01 -8.06938127323168e-02
 4.71632114506831e-01 -8.50835348950567e-02
 4.53492503744348e-01 -8.90322363790670e-02
 4.35593302897673e-01 -9.24935131269671e-02
 4.17956065616942e-01 -9.54932850724432e-02
 4.00609748442576e-01 -9.79750269367586e-02
 3.83560931606009e-01 -1.00076760905986e-01
 3.66843215733716e-01 -1.01712331289710e-01
 3.50457316320503e-01 -1.02951857808329e-01
 3.34434484008630e-01 -1.03796848125856e-01
 3.18774100329315e-01 -1.04223678050475e-01
 3.03499623121295e-01 -1.04331387693029e-01
 2.88611293565648e-01 -1.04124602338233e-01
 2.74124386665666e-01 -1.03623989975725e-01
 2.60041455523719e-01 -1.02795957543741e-01
 2.46374872015918e-01 -1.01759592164632e-01
 2.33123443938833e-01 -1.00471880530073e-01
 2.20293777810423e-01 -9.89659405150915e-02
 2.07883282965331e-01 -9.72579888470087e-02
 1.95902956391646e-01 -9.53701476042719e-02
 1.84341253066628e-01 -9.33245068548546e-02
 1.73213930954161e-01 -9.11440067219608e-02
 1.62499176129638e-01 -8.88201913031948e-02
 1.52214602777259e-01 -8.63638160085197e-02
 1.42331759398971e-01 -8.38260661943599e-02
 1.32872111539190e-01 -8.12287773386249e-02
 1.23806439629760e-01 -7.85590898043429e-02
 1.15147623386077e-01 -7.58512566604675e-02
 1.06887208802748e-01 -7.30866598721749e-02
 9.90071115215634e-02 -7.02996347025002e-02
 9.15234043853440e-02 -6.75107317702010e-02
 8.43970428172224e-02 -6.47126723407242e-02
 7.76464790199521e-02 -6.19194803273033e-02
 7.12479082120208e-02 -5.91418300006123e-02
 6.51878662973747e-02 -5.63849981388283e-02
 5.94874721274203e-02 -5.36681970036251e-02
 5.41002464180900e-02 -5.09816505942835e-02
 4.90378786701877e-02 -4.83365772833953e-02
 4.43003497573340e-02 -4.57418800893198e-02
 3.98423597346805e-02 -4.31858265870423e-02
 3.56899752436130e-02 -4.06855478908258e-02
 3.18292350050659e-02 -3.82469820800553e-02
 2.82200072057900e-02 -3.58475898089842e-02
 2.48925247792698e-02 -3.35198903768292e-02
 2.18286683030035e-02 -3.12667078437536e-02
 1.89846947131332e-02 -2.90610431939992e-02
 1.63921917020335e-02 -2.69295150160279e-02
 1.40446346341990e-02 -2.48902020543534e-02
 1.18798249846349e-02 -2.28682545005784e-02
 9.93094518736226e-03 -2.08780805565355e-02
 8.21940795734749e-03 -1.90023264546053e-02
 6.65838622137879e-03 -1.71958294450044e-02
 5.26774192850643e-03 -1.54879311248405e-02
 4.09515753852961e-03 -1.37999540814450e-02
 3.09878859713642e-03 -1.20274060495129e-02
 2.19660773551101e-03 -9.89992960770167e-03
 1.46264176301869e-03 -7.28805214711852e-03
 9.64484608297922e-04 -4.88881956242749e-03
 5.99373867982851e-04 -2.98811390896439e-03
 2.90086645599082e-04 -1.38402432204423e-03
 7.80707788302466e-05 -3.99896698503507e-04
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  4.10447537891805e-04
 2.89878724192004e-04  1.62106889429333e-03
 5.98775316682048e-04  3.44327011792027e-03
 9.63326351634835e-04  5.71195060121339e-03
 1.45966821282819e-03  8.42533952514255e-03
 2.19097636449990e-03  1.12585214922666e-02
 3.08997841959778e-03  1.36916186030228e-02
 4.08271112470316e-03  1.58475143462895e-02
 5.24853124383664e-03  1.80093208233392e-02
 6.63128223001261e-03  2.03039632493429e-02
 8.18368429859057e-03  2.26868388585630e-02
 9.88361416849065e-03  2.50549592666115e-02
 1.18176401547236e-02  2.75467607934579e-02
 1.39661993216830e-02  3.01107257135690e-02
