                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.191583       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -2.52820278309025e-04
 9.99429683992583e-01 -1.63330271948789e-04
 9.98063017832965e-01  4.84042102560361e-05
 9.95573914266674e-01  4.24184338847395e-04
 9.92086309749559e-01  9.29261624762892e-04
 9.87686148675057e-01  1.53066495746354e-03
 9.82330525170640e-01  2.20848661023375e-03
 9.76011908335692e-01  2.93130836196677e-03
 9.68787467298381e-01  3.65516070434636e-03
 9.60674860259240e-01  4.33663367398951e-03
 9.51675358763677e-01  4.92875232324596e-03
 9.41827652746244e-01  5.37752046098276e-03
 9.31175295355131e-01  5.64340595384497e-03
 9.19730397431178e-01  5.74574407066887e-03
 9.07524559194720e-01  5.94652001420225e-03
 8.94610408070308e-01  5.91604565243919e-03
 8.81009696499435e-01  5.54773403654433e-03
 8.66747905197194e-01  4.83226116179151e-03
 8.51890258171205e-01  3.87050582094418e-03
 8.36469462621421e-01  2.68500707599576e-03
 8.20513485943698e-01  1.17588607776805e-03
 8.04073832217581e-01 -6.22076041746836e-04
 7.87191529885653e-01 -2.68406189989847e-03
 7.69897919101553e-01 -5.06163781221431e-03
 7.52252341235159e-01 -7.69493117445594e-03
 7.34291349178558e-01 -1.06062605780597e-02
 7.16044924955764e-01 -1.40319270669504e-02
 6.97571640033109e-01 -1.74294842693311e-02
 6.78906186433687e-01 -2.05684167129786e-02
 6.60080312620540e-01 -2.39026491885488e-02
 6.41147517137212e-01 -2.75840427502189e-02
 6.22137650968852e-01 -3.13785815491744e-02
 6.03087998194415e-01 -3.52305808832030e-02
 5.84045042118975e-01 -3.91077655599706e-02
 5.65030897687003e-01 -4.29439746376653e-02
 5.46088602779599e-01 -4.66993830760596e-02
 5.27248673916899e-01 -5.03396873342938e-02
 5.08535950506088e-01 -5.38398670141572e-02
 4.89992355470388e-01 -5.71204078785707e-02
 4.71632114506831e-01 -6.01446772528252e-02
 4.53492503744348e-01 -6.28601923031253e-02
 4.35593302897673e-01 -6.52480814937206e-02
 4.17956065616942e-01 -6.73242080220953e-02
 4.00609748442576e-01 -6.90559917394959e-02
 3.83560931606009e-01 -7.04867625997636e-02
 3.66843215733716e-01 -7.16366669929237e-02
 3.50457316320503e-01 -7.23960101560260e-02
 3.34434484008630e-01 -7.28802438958325e-02
 3.18774100329315e-01 -7.31425875878945e-02
 3.03499623121295e-01 -7.31488386745519e-02
 2.88611293565648e-01 -7.29165719944894e-02
 2.74124386665666e-01 -7.24624720784784e-02
 2.60041455523719e-01 -7.18688382940761e-02
 2.46374872015918e-01 -7.11361719149163e-02
 2.33123443938833e-01 -7.02052968980987e-02
 2.20293777810423e-01 -6.91269196737906e-02
 2.07883282965331e-01 -6.79506179950382e-02
 1.95902956391646e-01 -6.66769822017650e-02
 1.84341253066628e-01 -6.52722030190939e-02
 1.73213930954161e-01 -6.37739047118691e-02
 1.62499176129638e-01 -6.22162270778755e-02
 1.52214602777259e-01 -6.06080762486269e-02
 1.42331759398971e-01 -5.89440184749329e-02
 1.32872111539190e-01 -5.72362245534636e-02
 1.23806439629760e-01 -5.54871502009303e-02
 1.15147623386077e-01 -5.37183932601510e-02
 1.06887208802748e-01 -5.19365964229238e-02
 9.90071115215634e-02 -5.01262118793363e-02
 9.15234043853440e-02 -4.82846164875198e-02
 8.43970428172224e-02 -4.64272394787792e-02
 7.76464790199521e-02 -4.45766487505795e-02
 7.12479082120208e-02 -4.27313524676930e-02
 6.51878662973747e-02 -4.08897740003949e-02
 5.94874721274203e-02 -3.90645713330279e-02
 5.41002464180900e-02 -3.72413063222011e-02
 4.90378786701877e-02 -3.54320875186464e-02
 4.43003497573340e-02 -3.36444858334382e-02
 3.98423597346805e-02 -3.18688599942667e-02
 3.56899752436130e-02 -3.01196831570850e-02
 3.18292350050659e-02 -2.84015639378196e-02
 2.82200072057900e-02 -2.67025126713222e-02
 2.48925247792698e-02 -2.50229266241133e-02
 2.18286683030035e-02 -2.33738100792862e-02
 1.89846947131332e-02 -2.17260801045244e-02
 1.63921917020335e-02 -2.01058681272149e-02
 1.40446346341990e-02 -1.85091402432830e-02
 1.18798249846349e-02 -1.69015827467808e-02
 9.93094518736226e-03 -1.53368146617733e-02
 8.21940795734749e-03 -1.38098362242601e-02
 6.65838622137879e-03 -1.24510251922622e-02
 5.26774192850643e-03 -1.11162706343432e-02
 4.09515753852961e-03 -9.73575979770875e-03
 3.09878859713642e-03 -8.28977043689692e-03
 2.19660773551101e-03 -6.55565658558312e-03
 1.46264176301869e-03 -4.57154970025759e-03
 9.64484608297922e-04 -3.09022342813097e-03
 5.99373867982851e-04 -2.01922635806681e-03
 2.90086645599082e-04 -1.08323770623298e-03
 7.80707788302466e-05 -2.70486870595444e-04
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  3.02729419552681e-04
 2.89878724192004e-04  1.45833813702371e-03
 5.98775316682048e-04  3.76198918440588e-03
 9.63326351634835e-04  6.84714179018955e-03
 1.45966821282819e-03  1.03569140680031e-02
 2.19097636449990e-03  1.28455966358405e-02
 3.08997841959778e-03  1.46697080343925e-02
 4.08271112470316e-03  1.64412893307420e-02
 5.24853124383664e-03  1.82926964652058e-02
 6.63128223001261e-03  2.02496125918591e-02
 8.18368429859057e-03  2.23326224573380e-02
 9.88361416849065e-03  2.44118752506300e-02
 1.18176401547236e-02  2.65765677707330e-02
 1.39661993216830e-02  2.88223289177126e-02
 1.62951420791042e-02  3.11041775612148e-02
 1.88631937781153e-02  3.34464694778444e-02
 2.16807137532775e-02  3.59423783045513e-02
 2.47159162958630e-02  3.85126597129423e-02
 2.80064400105864e-02  4.11401834824617e-02
 3.15762558914965e-02  4.38484845375453e-02
 3.53948396168776e-02  4.65919524331581e-02
 3.94949825480075e-02  4.93914659202544e-02
 4.38979282781582e-02  5.22485945313049e-02
 4.85758075737765e-02  5.50865539755973e-02
 5.35679916138118e-02  5.78225252475036e-02
 5.88818211488708e-02  6.05871581661992e-02
 6.45001629027313e-02  6.33703284107790e-02
 7.04692046391145e-02  6.61993145685416e-02
 7.67740309924709e-02  6.90569127165139e-02
 8.34162127168367e-02  7.19160839217814e-02
 9.04290195190656e-02  7.47597667121066e-02
 9.77906533229447e-02  7.75595676545550e-02
 1.05536187198748e-01  8.03842063640200e-02
