                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.219547       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -2.29942660898391e-04
 9.99429683992583e-01 -1.84825412095521e-04
 9.98063017832965e-01 -7.68737184997979e-05
 9.95573914266674e-01  1.19152425122194e-04
 9.92086309749559e-01  3.92575777657449e-04
 9.87686148675057e-01  7.35560020600605e-04
 9.82330525170640e-01  1.15019001854989e-03
 9.76011908335692e-01  1.63564086552743e-03
 9.68787467298381e-01  2.18614252131868e-03
 9.60674860259240e-01  2.79914297141106e-03
 9.51675358763677e-01  3.47357860111503e-03
 9.41827652746244e-01  4.20596411390888e-03
 9.31175295355131e-01  4.98182894976189e-03
 9.19730397431178e-01  5.62818635308796e-03
 9.07524559194720e-01  5.98388692456880e-03
 8.94610408070308e-01  6.09448402537968e-03
 8.81009696499435e-01  5.95397302652144e-03
 8.66747905197194e-01  5.52040466574977e-03
 8.51890258171205e-01  4.78541982126372e-03
 8.36469462621421e-01  3.70357919899167e-03
 8.20513485943698e-01  2.27235371862067e-03
 8.04073832217581e-01  4.64668315652112e-04
 7.87191529885653e-01 -1.74764643984634e-03
 7.69897919101553e-01 -4.38656566591126e-03
 7.52252341235159e-01 -7.41755559395528e-03
 7.34291349178558e-01 -1.08378019637076e-02
 7.16044924955764e-01 -1.46481609863499e-02
 6.97571640033109e-01 -1.89525190590558e-02
 6.78906186433687e-01 -2.37767993147855e-02
 6.60080312620540e-01 -2.88858672723121e-02
 6.41147517137212e-01 -3.42335482132072e-02
 6.22137650968852e-01 -3.97557742988183e-02
 6.03087998194415e-01 -4.53750448095772e-02
 5.84045042118975e-01 -5.10342554699772e-02
 5.65030897687003e-01 -5.66256218247597e-02
 5.46088602779599e-01 -6.20837312057801e-02
 5.27248673916899e-01 -6.73415193597791e-02
 5.08535950506088e-01 -7.23570567437852e-02
 4.89992355470388e-01 -7.70525929569586e-02
 4.71632114506831e-01 -8.13254285621745e-02
 4.53492503744348e-01 -8.51597322405008e-02
 4.35593302897673e-01 -8.85134350893581e-02
 4.17956065616942e-01 -9.14015119654020e-02
