                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.186855       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.71153950669848e-04
 9.99429683992583e-01 -7.35488634799816e-05
 9.98063017832965e-01  1.57331463991591e-04
 9.95573914266674e-01  5.66829104462378e-04
 9.92086309749559e-01  1.11641902542687e-03
 9.87686148675057e-01  1.76890123275288e-03
 9.82330525170640e-01  2.50021835306467e-03
 9.76011908335692e-01  3.27214882847018e-03
 9.68787467298381e-01  4.03083069199497e-03
 9.60674860259240e-01  4.72030744166305e-03
 9.51675358763677e-01  5.27724426112283e-03
 9.41827652746244e-01  5.62699177825423e-03
 9.31175295355131e-01  5.77983546637135e-03
 9.19730397431178e-01  5.80102522216099e-03
 9.07524559194720e-01  5.90262677155582e-03
 8.94610408070308e-01  5.81411886809911e-03
 8.81009696499435e-01  5.34362364964436e-03
 8.66747905197194e-01  4.49412158317509e-03
 8.51890258171205e-01  3.41722512830001e-03
 8.36469462621421e-01  2.16774553906636e-03
 8.20513485943698e-01  5.98779275524885e-04
 8.04073832217581e-01 -1.22959768697989e-03
 7.87191529885653e-01 -3.27146915810064e-03
 7.69897919101553e-01 -5.59283395369361e-03
 7.52252341235159e-01 -8.12988116741396e-03
 7.34291349178558e-01 -1.08927638307714e-02
 7.16044924955764e-01 -1.41057085868268e-02
 6.97571640033109e-01 -1.72986450890761e-02
 6.78906186433687e-01 -2.02748387659932e-02
 6.60080312620540e-01 -2.33942651974078e-02
 6.41147517137212e-01 -2.67923656813954e-02
 6.22137650968852e-01 -3.02636728505900e-02
 6.03087998194415e-01 -3.37597348411137e-02
 5.84045042118975e-01 -3.72503905297389e-02
 5.65030897687003e-01 -4.06949710226266e-02
 5.46088602779599e-01 -4.40479349792324e-02
 5.27248673916899e-01 -4.72922303811255e-02
 5.08535950506088e-01 -5.04018868639731e-02
 4.89992355470388e-01 -5.33082831472814e-02
 4.71632114506831e-01 -5.60047733376270e-02
 4.53492503744348e-01 -5.84314012743038e-02
 4.35593302897673e-01 -6.05757534739110e-02
 4.17956065616942e-01 -6.24627802827324e-02
 4.00609748442576e-01 -6.40363134871891e-02
 3.83560931606009e-01 -6.53602403646468e-02
 3.66843215733716e-01 -6.64400648419956e-02
 3.50457316320503e-01 -6.71360307426484e-02
 3.34434484008630e-01 -6.75816898287172e-02
 3.18774100329315e-01 -6.78487927819092e-02
 3.03499623121295e-01 -6.78895107999420e-02
 2.88611293565648e-01 -6.77011760077310e-02
 2.74124386665666e-01 -6.73151903230151e-02
 2.60041455523719e-01 -6.68138302918920e-02
 2.46374872015918e-01 -6.62014304961386e-02
 2.33123443938833e-01 -6.53908159337965e-02
 2.20293777810423e-01 -6.44375203561632e-02
 2.07883282965331e-01 -6.34004110972926e-02
 1.95902956391646e-01 -6.22820578533404e-02
 1.84341253066628e-01 -6.10348862209989e-02
 1.73213930954161e-01 -5.96977640956120e-02
 1.62499176129638e-01 -5.83057232097696e-02
 1.52214602777259e-01 -5.68741483506743e-02
 1.42331759398971e-01 -5.53855565054904e-02
 1.32872111539190e-01 -5.38501588322133e-02
 1.23806439629760e-01 -5.22747322410680e-02
 1.15147623386077e-01 -5.06792834845623e-02
 1.06887208802748e-01 -4.90731516587845e-02
 9.90071115215634e-02 -4.74333005501189e-02
 9.15234043853440e-02 -4.57496801599463e-02
 8.43970428172224e-02 -4.40437812259859e-02
 7.76464790199521e-02 -4.23420245487248e-02
 7.12479082120208e-02 -4.06413485319089e-02
 6.51878662973747e-02 -3.89372894608680e-02
 5.94874721274203e-02 -3.72397516163891e-02
 5.41002464180900e-02 -3.55367696826015e-02
 4.90378786701877e-02 -3.38440247686487e-02
 4.43003497573340e-02 -3.21676391174928e-02
 3.98423597346805e-02 -3.04971123892219e-02
 3.56899752436130e-02 -2.88470020322845e-02
 3.18292350050659e-02 -2.72219806685583e-02
 2.82200072057900e-02 -2.56103326380829e-02
 2.48925247792698e-02 -2.40089710957886e-02
 2.18286683030035e-02 -2.24248857034736e-02
 1.89846947131332e-02 -2.08358980533329e-02
 1.63921917020335e-02 -1.92686114356589e-02
 1.40446346341990e-02 -1.76943355395896e-02
 1.18798249846349e-02 -1.61018300937107e-02
 9.93094518736226e-03 -1.45674601561440e-02
 8.21940795734749e-03 -1.30369285506139e-02
 6.65838622137879e-03 -1.16717910252642e-02
 5.26774192850643e-03 -1.03790882392976e-02
 4.09515753852961e-03 -9.05642686109594e-03
 3.09878859713642e-03 -7.66436855612875e-03
 2.19660773551101e-03 -6.02663166437822e-03
 1.46264176301869e-03 -4.23351160765841e-03
 9.64484608297922e-04 -2.88316604563738e-03
 5.99373867982851e-04 -1.89057253838326e-03
 2.90086645599082e-04 -1.00651157127850e-03
 7.80707788302466e-05 -2.53605577335659e-04
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  3.01338378020223e-04
 2.89878724192004e-04  1.57802182715634e-03
 5.98775316682048e-04  4.28419983733601e-03
 9.63326351634835e-04  7.96125544278348e-03
 1.45966821282819e-03  1.19558104351769e-02
 2.19097636449990e-03  1.42546000342864e-02
 3.08997841959778e-03  1.58921272697207e-02
 4.08271112470316e-03  1.75480056819777e-02
 5.24853124383664e-03  1.93558054752821e-02
 6.63128223001261e-03  2.12902060536073e-02
 8.18368429859057e-03  2.33058588464043e-02
 9.88361416849065e-03  2.53150372685426e-02
 1.18176401547236e-02  2.74191848096147e-02
 1.39661993216830e-02  2.95992869111822e-02
 1.62951420791042e-02  3.18092254535521e-02
 1.88631937781153e-02  3.40814491224269e-02
 2.16807137532775e-02  3.65016134586517e-02
 2.47159162958630e-02  3.89981374889393e-02
 2.80064400105864e-02  4.15554143698773e-02
 3.15762558914965e-02  4.41903359058105e-02
 3.53948396168776e-02  4.68615241650419e-02
 3.94949825480075e-02  4.95889054936172e-02
 4.38979282781582e-02  5.23782923663279e-02
 4.85758075737765e-02  5.51613388501549e-02
 5.35679916138118e-02  5.78690162382988e-02
 5.88818211488708e-02  6.06014997441468e-02
 6.45001629027313e-02  6.33504715844531e-02
 7.04692046391145e-02  6.61455442680037e-02
 7.67740309924709e-02  6.89706424021737e-02
 8.34162127168367e-02  7.17967828995847e-02
 9.04290195190656e-02  7.46037651267231e-02
 9.77906533229447e-02  7.73627052804142e-02
 1.05536187198748e-01  8.01499345833089e-02
 1.13658760041779e-01  8.29551200792809e-02
 1.22161483318940e-01  8.57547162508832e-02
 1.31067498602735e-01  8.85328090274811e-02
 1.40354649921884e-01  9.12787830015285e-02
 1.50055110786138e-01  9.39781373246307e-02
 1.60148962661562e-01  9.66399297396189e-02
 1.70658187899640e-01  9.91994035851839e-02
 1.81574957422924e-01  1.01704269304077e-01
 1.92907571409635e-01  1.04080439150616e-01
 2.04657634577812e-01  1.06329290029067e-01
 2.16817353069424e-01  1.08481442834924e-01
 2.29396483963478e-01  1.10521847603556e-01
 2.42377800694080e-01  1.12358021023759e-01
 2.55773624268338e-01  1.14016889408421e-01
 2.69566785632899e-01  1.15622330575967e-01
 2.83765797226135e-01  1.17047127940790e-01
 2.98347982887804e-01  1.18192419347401e-01
 3.13318978785268e-01  1.18980777734097e-01
 3.28658461892810e-01  1.19352754137230e-01
 3.44364941645546e-01  1.19406771321889e-01
 3.60419773725681e-01  1.19146962901401e-01
 3.76811233766957e-01  1.18727387865464e-01
 3.93525251020729e-01  1.18164863511492e-01
 4.10538642553571e-01  1.17336576027542e-01
 4.27843232490823e-01  1.16041084680954e-01
 4.45406663468198e-01  1.14424689362504e-01
 4.63222254103030e-01  1.12632667734566e-01
 4.81251545655716e-01  1.10473251666133e-01
 4.99481026671737e-01  1.08086875616744e-01
 5.17879583085697e-01  1.05505923445039e-01
 5.36417631367010e-01  1.02639785474190e-01
 5.55075704909560e-01  9.95789535580596e-02
 5.73808427242608e-01  9.63127447794599e-02
 5.92596731105059e-01  9.28402400636008e-02
 6.11401377553511e-01  8.92109175421737e-02
 6.30186430605241e-01  8.53893028599781e-02
 6.48926781663159e-01  8.14579746776519e-02
 6.67570206424973e-01  7.74375425280956e-02
 6.86088429590952e-01  7.33381238852001e-02
 7.04445389043917e-01  6.91787288403639e-02
 7.22592093722966e-01  6.49956900429612e-02
 7.40501800453524e-01  6.07866093831539e-02
 7.58125457122835e-01  5.66198587147981e-02
 7.75421014376153e-01  5.24916133855972e-02
 7.92362373587600e-01  4.84315097639057e-02
 8.08894546151696e-01  4.44770163140217e-02
 8.24974633014891e-01  4.06336148478325e-02
 8.40576952273409e-01  3.69137477659786e-02
 8.55652758808818e-01  3.33320736968661e-02
 8.70162898882712e-01  2.98885552045469e-02
 8.84085033071272e-01  2.66094359173252e-02
 8.97361214262371e-01  2.35046871856213e-02
 9.09954680076662e-01  2.06053629702098e-02
 9.21851471402547e-01  1.79035681486730e-02
