                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.228548       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  7.45974351379808e-05
 9.99429683992583e-01  1.10153549213550e-04
 9.98063017832965e-01  1.95699172040815e-04
 9.95573914266674e-01  3.52718846351883e-04
 9.92086309749559e-01  5.75288280059402e-04
 9.87686148675057e-01  8.60173768406530e-04
 9.82330525170640e-01  1.21270361303773e-03
 9.76011908335692e-01  1.63617504371938e-03
 9.68787467298381e-01  2.12941857548167e-03
 9.60674860259240e-01  2.69343682621840e-03
 9.51675358763677e-01  3.32972583502075e-03
 9.41827652746244e-01  4.03619015111935e-03
 9.31175295355131e-01  4.83510758869315e-03
 9.19730397431178e-01  5.49892673963715e-03
 9.07524559194720e-01  5.89052136222776e-03
 8.94610408070308e-01  6.01834651517906e-03
 8.81009696499435e-01  5.87747663481505e-03
 8.66747905197194e-01  5.41822017855660e-03
 8.51890258171205e-01  4.63809053130812e-03
 8.36469462621421e-01  3.49765101046557e-03
 8.20513485943698e-01  1.98307952967362e-03
 8.04073832217581e-01  5.91978089210246e-05
 7.87191529885653e-01 -2.31098703770366e-03
 7.69897919101553e-01 -5.15332259106788e-03
 7.52252341235159e-01 -8.45794436624733e-03
 7.34291349178558e-01 -1.22073657417778e-02
 7.16044924955764e-01 -1.63948905137161e-02
 6.97571640033109e-01 -2.10702513967867e-02
 6.78906186433687e-01 -2.62302350514811e-02
 6.60080312620540e-01 -3.17013985048712e-02
 6.41147517137212e-01 -3.74285158162588e-02
 6.22137650968852e-01 -4.33161310471040e-02
 6.03087998194415e-01 -4.92835688050067e-02
 5.84045042118975e-01 -5.52538596463737e-02
 5.65030897687003e-01 -6.11567483466776e-02
 5.46088602779599e-01 -6.68815999762292e-02
 5.27248673916899e-01 -7.23787737887259e-02
 5.08535950506088e-01 -7.75874208905016e-02
 4.89992355470388e-01 -8.24546973509351e-02
 4.71632114506831e-01 -8.68922399549605e-02
 4.53492503744348e-01 -9.08892049127799e-02
 4.35593302897673e-01 -9.43971986743360e-02
 4.17956065616942e-01 -9.74476227395232e-02
 4.00609748442576e-01 -9.99681862257044e-02
 3.83560931606009e-01 -1.02121746551557e-01
 3.66843215733716e-01 -1.03798285839347e-01
 3.50457316320503e-01 -1.05081290794002e-01
 3.34434484008630e-01 -1.05963385398418e-01
 3.18774100329315e-01 -1.06418119172064e-01
 3.03499623121295e-01 -1.06558893308588e-01
 2.88611293565648e-01 -1.06378242453721e-01
 2.74124386665666e-01 -1.05905013040569e-01
 2.60041455523719e-01 -1.05087170982889e-01
 2.46374872015918e-01 -1.04065005109382e-01
 2.33123443938833e-01 -1.02783469837441e-01
 2.20293777810423e-01 -1.01275267160891e-01
 2.07883282965331e-01 -9.95561249623202e-02
 1.95902956391646e-01 -9.76528727978259e-02
 1.84341253066628e-01 -9.55892823186314e-02
 1.73213930954161e-01 -9.33865316193534e-02
 1.62499176129638e-01 -9.10294127232479e-02
 1.52214602777259e-01 -8.85327320322318e-02
 1.42331759398971e-01 -8.59502019279487e-02
 1.32872111539190e-01 -8.33040601149925e-02
 1.23806439629760e-01 -8.05813784911760e-02
 1.15147623386077e-01 -7.78176138940324e-02
 1.06887208802748e-01 -7.49913871198134e-02
 9.90071115215634e-02 -7.21410224620322e-02
 9.15234043853440e-02 -6.92862211599291e-02
 8.43970428172224e-02 -6.64194789035837e-02
 7.76464790199521e-02 -6.35557993572188e-02
 7.12479082120208e-02 -6.07069726319775e-02
 6.51878662973747e-02 -5.78774604162435e-02
 5.94874721274203e-02 -5.50856200467624e-02
 5.41002464180900e-02 -5.23241934910339e-02
 4.90378786701877e-02 -4.96067834044355e-02
 4.43003497573340e-02 -4.69414835421602e-02
 3.98423597346805e-02 -4.43154910911706e-02
 3.56899752436130e-02 -4.17464660623918e-02
 3.18292350050659e-02 -3.92406017395768e-02
 2.82200072057900e-02 -3.67734938841319e-02
 2.48925247792698e-02 -3.43810714225683e-02
 2.18286683030035e-02 -3.20613479633473e-02
 1.89846947131332e-02 -2.97931082014031e-02
 1.63921917020335e-02 -2.76034681732390e-02
 1.40446346341990e-02 -2.54957193300602e-02
 1.18798249846349e-02 -2.34058894921294e-02
 9.93094518736226e-03 -2.13577087481739e-02
 8.21940795734749e-03 -1.94152440511809e-02
 6.65838622137879e-03 -1.75253841535236e-02
 5.26774192850643e-03 -1.57785542903979e-02
 4.09515753852961e-03 -1.40724667433490e-02
 3.09878859713642e-03 -1.22762192928723e-02
 2.19660773551101e-03 -1.01407158175334e-02
 1.46264176301869e-03 -7.55618929720508e-03
 9.64484608297922e-04 -5.09493866173258e-03
