                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.185693       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.46771640157559e-04
 9.99429683992583e-01 -4.71046050015792e-05
 9.98063017832965e-01  1.88653595695161e-04
 9.95573914266674e-01  6.06785579481172e-04
 9.92086309749559e-01  1.16785750881643e-03
 9.87686148675057e-01  1.83362709382086e-03
 9.82330525170640e-01  2.57897894363946e-03
 9.76011908335692e-01  3.36387881911298e-03
 9.68787467298381e-01  4.13173928025442e-03
 9.60674860259240e-01  4.82304129926124e-03
 9.51675358763677e-01  5.36970149330232e-03
 9.41827652746244e-01  5.69097022393443e-03
 9.31175295355131e-01  5.81391266328535e-03
 9.19730397431178e-01  5.81707645499221e-03
 9.07524559194720e-01  5.88890636970109e-03
 8.94610408070308e-01  5.78550841319848e-03
 8.81009696499435e-01  5.28843149637105e-03
 8.66747905197194e-01  4.40374773280613e-03
 8.51890258171205e-01  3.29630942588080e-03
 8.36469462621421e-01  2.02938374029764e-03
 8.20513485943698e-01  4.43712609705492e-04
 8.04073832217581e-01 -1.39416283422545e-03
 7.87191529885653e-01 -3.43295438627248e-03
 7.69897919101553e-01 -5.74244928208795e-03
 7.52252341235159e-01 -8.25810571934506e-03
 7.34291349178558e-01 -1.09846304835638e-02
 7.16044924955764e-01 -1.41304086885671e-02
 6.97571640033109e-01 -1.72658956260766e-02
 6.78906186433687e-01 -2.02133828465941e-02
 6.60080312620540e-01 -2.32909222130074e-02
 6.41147517137212e-01 -2.66165122823962e-02
 6.22137650968852e-01 -3.00048356444717e-02
 6.03087998194415e-01 -3.34093010583842e-02
 5.84045042118975e-01 -3.68000998195697e-02
 5.65030897687003e-01 -4.01436526736905e-02
 5.46088602779599e-01 -4.33924729484814e-02
 5.27248673916899e-01 -4.65342061686267e-02
 5.08535950506088e-01 -4.95424602419036e-02
 4.89992355470388e-01 -5.23516793679888e-02
 4.71632114506831e-01 -5.49632178223151e-02
 4.53492503744348e-01 -5.73151517142467e-02
 4.35593302897673e-01 -5.93967063917952e-02
 4.17956065616942e-01 -6.12353272985507e-02
 4.00609748442576e-01 -6.27682945492077e-02
 3.83560931606009e-01 -6.40654329231650e-02
 3.66843215733716e-01 -6.51278776470124e-02
 3.50457316320503e-01 -6.58082701726322e-02
 3.34434484008630e-01 -6.62447188911437e-02
 3.18774100329315e-01 -6.65137832649906e-02
 3.03499623121295e-01 -6.65643757639486e-02
 2.88611293565648e-01 -6.63882370783657e-02
 2.74124386665666e-01 -6.60208267756623e-02
 2.60041455523719e-01 -6.55439971958161e-02
 2.46374872015918e-01 -6.49635736941174e-02
 2.33123443938833e-01 -6.41847472468933e-02
 2.20293777810423e-01 -6.32643068467048e-02
 2.07883282965331e-01 -6.22635527066443e-02
 1.95902956391646e-01 -6.11856871448971e-02
 1.84341253066628e-01 -5.99795520435705e-02
 1.73213930954161e-01 -5.86843008248481e-02
 1.62499176129638e-01 -5.73350374249130e-02
 1.52214602777259e-01 -5.59489535239550e-02
 1.42331759398971e-01 -5.45054468894333e-02
 1.32872111539190e-01 -5.30142194953358e-02
 1.23806439629760e-01 -5.14831884993811e-02
 1.15147623386077e-01 -4.99319705148401e-02
 1.06887208802748e-01 -4.83705508848235e-02
 9.90071115215634e-02 -4.67740114658370e-02
 9.15234043853440e-02 -4.51303180835810e-02
 8.43970428172224e-02 -4.34625557884532e-02
 7.76464790199521e-02 -4.17981896222148e-02
 7.12479082120208e-02 -4.01337719461272e-02
 6.51878662973747e-02 -3.84640517957155e-02
 5.94874721274203e-02 -3.67981812546179e-02
 5.41002464180900e-02 -3.51249149519649e-02
 4.90378786701877e-02 -3.34609434448136e-02
 4.43003497573340e-02 -3.18119844409315e-02
 3.98423597346805e-02 -3.01672802134480e-02
 3.56899752436130e-02 -2.85414271919298e-02
 3.18292350050659e-02 -2.69391206092749e-02
 2.82200072057900e-02 -2.53486666081097e-02
 2.48925247792698e-02 -2.37661440066292e-02
 2.18286683030035e-02 -2.21973454721984e-02
 1.89846947131332e-02 -2.06220788600895e-02
 1.63921917020335e-02 -1.90670929867821e-02
 1.40446346341990e-02 -1.74967494283409e-02
 1.18798249846349e-02 -1.59062408791965e-02
 9.93094518736226e-03 -1.43782191669255e-02
 8.21940795734749e-03 -1.28448341363864e-02
 6.65838622137879e-03 -1.14757210642198e-02
 5.26774192850643e-03 -1.01929647030438e-02
 4.09515753852961e-03 -8.88494264368464e-03
 3.09878859713642e-03 -7.50637418200355e-03
 2.19660773551101e-03 -5.89379305730251e-03
 1.46264176301869e-03 -4.15203834983854e-03
 9.64484608297922e-04 -2.83499456734087e-03
 5.99373867982851e-04 -1.85798525394139e-03
 2.90086645599082e-04 -9.83689118801126e-04
 7.80707788302466e-05 -2.49679039071285e-04
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  3.01801568003078e-04
 2.89878724192004e-04  1.61259416962294e-03
 5.98775316682048e-04  4.42772857507643e-03
 9.63326351634835e-04  8.26320179031361e-03
 1.45966821282819e-03  1.23860997917026e-02
 2.19097636449990e-03  1.46350192056986e-02
 3.08997841959778e-03  1.62259169633164e-02
 4.08271112470316e-03  1.78530894615284e-02
 5.24853124383664e-03  1.96516545808042e-02
 6.63128223001261e-03  2.15829255828792e-02
 8.18368429859057e-03  2.35826336417047e-02
 9.88361416849065e-03  2.55750066930144e-02
 1.18176401547236e-02  2.76653310749234e-02
 1.39661993216830e-02  2.98301153761540e-02
 1.62951420791042e-02  3.20229282531783e-02
 1.88631937781153e-02  3.42786799970508e-02
 2.16807137532775e-02  3.66767873715823e-02
 2.47159162958630e-02  3.91500226262671e-02
 2.80064400105864e-02  4.16851191631223e-02
 3.15762558914965e-02  4.42968712318200e-02
 3.53948396168776e-02  4.69452373100626e-02
 3.94949825480075e-02  4.96498430235503e-02
 4.38979282781582e-02  5.24178405494090e-02
 4.85758075737765e-02  5.51845684920346e-02
 5.35679916138118e-02  5.78874543126682e-02
 5.88818211488708e-02  6.06144140446546e-02
 6.45001629027313e-02  6.33574416133237e-02
 7.04692046391145e-02  6.61465660177161e-02
 7.67740309924709e-02  6.89659237362363e-02
 8.34162127168367e-02  7.17861958466349e-02
 9.04290195190656e-02  7.45866215144795e-02
 9.77906533229447e-02  7.73382235865110e-02
 1.05536187198748e-01  8.01187024867121e-02
 1.13658760041779e-01  8.29177852855405e-02
 1.22161483318940e-01  8.57125142362874e-02
 1.31067498602735e-01  8.84863084704547e-02
 1.40354649921884e-01  9.12265873268878e-02
 1.50055110786138e-01  9.39186678396304e-02
 1.60148962661562e-01  9.65737260706287e-02
 1.70658187899640e-01  9.91338642211257e-02
 1.81574957422924e-01  1.01635992317376e-01
 1.92907571409635e-01  1.04011817182446e-01
 2.04657634577812e-01  1.06263610132398e-01
 2.16817353069424e-01  1.08422756820566e-01
 2.29396483963478e-01  1.10470068533950e-01
 2.42377800694080e-01  1.12317858733871e-01
 2.55773624268338e-01  1.13991662682677e-01
 2.69566785632899e-01  1.15611602785583e-01
 2.83765797226135e-01  1.17051650514121e-01
 2.98347982887804e-01  1.18209477212962e-01
 3.13318978785268e-01  1.19043334612502e-01
 3.28658461892810e-01  1.19494232373612e-01
 3.44364941645546e-01  1.19613773912540e-01
 3.60419773725681e-01  1.19396204713703e-01
 3.76811233766957e-01  1.19032225834682e-01
 3.93525251020729e-01  1.18539319366003e-01
 4.10538642553571e-01  1.17784245598830e-01
 4.27843232490823e-01  1.16539150816519e-01
 4.45406663468198e-01  1.14975898480366e-01
 4.63222254103030e-01  1.13238653340328e-01
 4.81251545655716e-01  1.11128451076614e-01
 4.99481026671737e-01  1.08788201496703e-01
 5.17879583085697e-01  1.06246524508490e-01
 5.36417631367010e-01  1.03416069279997e-01
 5.55075704909560e-01  1.00388515844154e-01
 5.73808427242608e-01  9.71488398048109e-02
 5.92596731105059e-01  9.36979560011549e-02
 6.11401377553511e-01  9.00864320281576e-02
 6.30186430605241e-01  8.62773692104872e-02
 6.48926781663159e-01  8.23513332708394e-02
 6.67570206424973e-01  7.83324285837153e-02
 6.86088429590952e-01  7.42263669454595e-02
 7.04445389043917e-01  7.00570911905616e-02
 7.22592093722966e-01  6.58551255684788e-02
 7.40501800453524e-01  6.16228019968198e-02
 7.58125457122835e-01  5.74277635191219e-02
 7.75421014376153e-01  5.32656161643209e-02
 7.92362373587600e-01  4.91672416038970e-02
 8.08894546151696e-01  4.51721779541692e-02
 8.24974633014891e-01  4.12847718941853e-02
 8.40576952273409e-01  3.75187127352182e-02
 8.55652758808818e-01  3.38908181458650e-02
 8.70162898882712e-01  3.04007647412375e-02
 8.84085033071272e-01  2.70733971367041e-02
 8.97361214262371e-01  2.39226080098488e-02
 9.09954680076662e-01  2.09791585121182e-02
 9.21851471402547e-01  1.82363382508142e-02
 9.33012836658427e-01  1.56785951592207e-02
