                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.224542       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -6.65967556087821e-05
 9.99429683992583e-01 -2.70596699874808e-05
 9.98063017832965e-01  6.78297457695211e-05
 9.95573914266674e-01  2.41169850757961e-04
 9.92086309749559e-01  4.85138761948981e-04
 9.87686148675057e-01  7.94688939294234e-04
 9.82330525170640e-01  1.17393681561910e-03
 9.76011908335692e-01  1.62463020414580e-03
 9.68787467298381e-01  2.14385917262871e-03
 9.60674860259240e-01  2.73134525327269e-03
 9.51675358763677e-01  3.38774229197947e-03
 9.41827652746244e-01  4.11059688735922e-03
 9.31175295355131e-01  4.90719554488218e-03
 9.19730397431178e-01  5.57249969952739e-03
 9.07524559194720e-01  5.94719618483385e-03
 8.94610408070308e-01  6.06708366115043e-03
 8.81009696499435e-01  5.92689442102868e-03
 8.66747905197194e-01  5.48074056725453e-03
 8.51890258171205e-01  4.72332944697885e-03
 8.36469462621421e-01  3.61228699781110e-03
 8.20513485943698e-01  2.13931709829173e-03
 8.04073832217581e-01  2.73162082270788e-04
 7.87191529885653e-01 -2.01895251632210e-03
 7.69897919101553e-01 -4.76106512717777e-03
 7.52252341235159e-01 -7.93154003091613e-03
 7.34291349178558e-01 -1.15202367067020e-02
 7.16044924955764e-01 -1.55242511998744e-02
 6.97571640033109e-01 -2.00319148672486e-02
 6.78906186433687e-01 -2.50583830115470e-02
 6.60080312620540e-01 -3.03822678704417e-02
 6.41147517137212e-01 -3.59539924037594e-02
 6.22137650968852e-01 -4.16925209248463e-02
 6.03087998194415e-01 -4.75185281590028e-02
 5.84045042118975e-01 -5.33642180400431e-02
 5.65030897687003e-01 -5.91412527234986e-02
 5.46088602779599e-01 -6.47599404681754e-02
 5.27248673916899e-01 -7.01622603738598e-02
 5.08535950506088e-01 -7.52959805217210e-02
 4.89992355470388e-01 -8.00968302806058e-02
 4.71632114506831e-01 -8.44692416619870e-02
 4.53492503744348e-01 -8.84006673795241e-02
 4.35593302897673e-01 -9.18454136665850e-02
 4.17956065616942e-01 -9.48275266800712e-02
 4.00609748442576e-01 -9.72958145578450e-02
 3.83560931606009e-01 -9.93797721881235e-02
 3.66843215733716e-01 -1.01001441560458e-01
 3.50457316320503e-01 -1.02226184526434e-01
 3.34434484008630e-01 -1.03058648918779e-01
 3.18774100329315e-01 -1.03476279620526e-01
 3.03499623121295e-01 -1.03573096624662e-01
 2.88611293565648e-01 -1.03357786774582e-01
 2.74124386665666e-01 -1.02848287398842e-01
 2.60041455523719e-01 -1.02017346296591e-01
 2.46374872015918e-01 -1.00976764825959e-01
 2.33123443938833e-01 -9.96875501819717e-02
 2.20293777810423e-01 -9.81829724475899e-02
 2.07883282965331e-01 -9.64794640230783e-02
