                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.222536       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.35790564601601e-04
 9.99429683992583e-01 -9.41160007634893e-05
 9.98063017832965e-01  5.78190733420446e-06
 9.95573914266674e-01  1.87839096053166e-04
 9.92086309749559e-01  4.43168000776601e-04
 9.87686148675057e-01  7.65688430525263e-04
 9.82330525170640e-01  1.15878706962523e-03
 9.76011908335692e-01  1.62328517422718e-03
 9.68787467298381e-01  2.15523995924748e-03
 9.60674860259240e-01  2.75357431354447e-03
 9.51675358763677e-01  3.41836663299626e-03
 9.41827652746244e-01  4.14685158940697e-03
 9.31175295355131e-01  4.93805968365504e-03
 9.19730397431178e-01  5.59920209627812e-03
 9.07524559194720e-01  5.96579331681470e-03
 8.94610408070308e-01  6.08175672152565e-03
 8.81009696499435e-01  5.94154852649889e-03
 8.66747905197194e-01  5.50099810236259e-03
 8.51890258171205e-01  4.75349480914630e-03
 8.36469462621421e-01  3.65533091562424e-03
 8.20513485943698e-01  2.20071944961781e-03
 8.04073832217581e-01  3.60211863792842e-04
 7.87191529885653e-01 -1.89698648648481e-03
 7.69897919101553e-01 -4.59403686668580e-03
 7.52252341235159e-01 -7.70376374002655e-03
 7.34291349178558e-01 -1.12192540376752e-02
 7.16044924955764e-01 -1.51392629586538e-02
 6.97571640033109e-01 -1.95640057045782e-02
 6.78906186433687e-01 -2.45150794455825e-02
 6.60080312620540e-01 -2.97576106673336e-02
 6.41147517137212e-01 -3.52440142634515e-02
 6.22137650968852e-01 -4.09003388044568e-02
 6.03087998194415e-01 -4.66479818536041e-02
 5.84045042118975e-01 -5.24236254900675e-02
 5.65030897687003e-01 -5.81304757687946e-02
 5.46088602779599e-01 -6.36890704815412e-02
 5.27248673916899e-01 -6.90374513597662e-02
 5.08535950506088e-01 -7.41276757313463e-02
