                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.249566       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.44537094829990e-05
 9.99429683992583e-01 -3.33962348066028e-05
 9.98063017832965e-01  1.81399952638430e-05
 9.95573914266674e-01  1.15821723666173e-04
 9.92086309749559e-01  2.60693190279896e-04
 9.87686148675057e-01  4.56118600735234e-04
 9.82330525170640e-01  7.11709326751851e-04
 9.76011908335692e-01  1.03604632925148e-03
 9.68787467298381e-01  1.43360808614330e-03
 9.60674860259240e-01  1.90893868392225e-03
 9.51675358763677e-01  2.46490496715207e-03
 9.41827652746244e-01  3.09835964121328e-03
 9.31175295355131e-01  3.89636145064073e-03
 9.19730397431178e-01  4.54229031685752e-03
 9.07524559194720e-01  4.96225580476598e-03
 8.94610408070308e-01  5.08653812161601e-03
 8.81009696499435e-01  4.89744231951001e-03
 8.66747905197194e-01  4.33052259558922e-03
 8.51890258171205e-01  3.39114211095188e-03
 8.36469462621421e-01  2.05353891573993e-03
 8.20513485943698e-01  2.79646443538484e-04
 8.04073832217581e-01 -1.97981828395050e-03
 7.87191529885653e-01 -4.77440818805006e-03
 7.69897919101553e-01 -8.13617072989230e-03
 7.52252341235159e-01 -1.20900311344325e-02
 7.34291349178558e-01 -1.65773285526168e-02
 7.16044924955764e-01 -2.15703721216911e-02
 6.97571640033109e-01 -2.70035691296151e-02
 6.78906186433687e-01 -3.28155775206701e-02
 6.60080312620540e-01 -3.89655854862239e-02
 6.41147517137212e-01 -4.53761657514809e-02
 6.22137650968852e-01 -5.19136979557384e-02
 6.03087998194415e-01 -5.84940904256489e-02
 5.84045042118975e-01 -6.50127362485728e-02
 5.65030897687003e-01 -7.14460107290905e-02
 5.46088602779599e-01 -7.76355536865633e-02
 5.27248673916899e-01 -8.35489620433081e-02
 5.08535950506088e-01 -8.91076179050112e-02
 4.89992355470388e-01 -9.42890958460190e-02
 4.71632114506831e-01 -9.90316813630905e-02
 4.53492503744348e-01 -1.03325916659170e-01
 4.35593302897673e-01 -1.07124361104195e-01
 4.17956065616942e-01 -1.10472369235486e-01
 4.00609748442576e-01 -1.13257059355098e-01
 3.83560931606009e-01 -1.15695512754711e-01
 3.66843215733716e-01 -1.17621810619117e-01
 3.50457316320503e-01 -1.19148913666566e-01
 3.34434484008630e-01 -1.20245592784620e-01
 3.18774100329315e-01 -1.20881493500635e-01
 3.03499623121295e-01 -1.21204461250905e-01
 2.88611293565648e-01 -1.21168672135882e-01
 2.74124386665666e-01 -1.20830726314597e-01
 2.60041455523719e-01 -1.20085199314822e-01
 2.46374872015918e-01 -1.19127207225721e-01
 2.33123443938833e-01 -1.17871696863140e-01
 2.20293777810423e-01 -1.16347503872189e-01
 2.07883282965331e-01 -1.14570073085820e-01
 1.95902956391646e-01 -1.12579439268161e-01
 1.84341253066628e-01 -1.10403837080829e-01
 1.73213930954161e-01 -1.08059394449723e-01
 1.62499176129638e-01 -1.05511412410543e-01
 1.52214602777259e-01 -1.02790028341939e-01
 1.42331759398971e-01 -9.99528906632812e-02
 1.32872111539190e-01 -9.70226927485792e-02
 1.23806439629760e-01 -9.39895933432639e-02
 1.15147623386077e-01 -9.08932982985150e-02
 1.06887208802748e-01 -8.77077329854536e-02
 9.90071115215634e-02 -8.44804973267791e-02
 9.15234043853440e-02 -8.12318987097461e-02
 8.43970428172224e-02 -7.79542605524279e-02
 7.76464790199521e-02 -7.46672902378201e-02
 7.12479082120208e-02 -7.13877940365516e-02
 6.51878662973747e-02 -6.81167582103340e-02
 5.94874721274203e-02 -6.48714803427487e-02
 5.41002464180900e-02 -6.16542561441267e-02
 4.90378786701877e-02 -5.84871335800861e-02
 4.43003497573340e-02 -5.53763402842576e-02
 3.98423597346805e-02 -5.23047859691872e-02
 3.56899752436130e-02 -4.92957044138171e-02
 3.18292350050659e-02 -4.63557178490595e-02
 2.82200072057900e-02 -4.34542519070483e-02
 2.48925247792698e-02 -4.06388233628220e-02
 2.18286683030035e-02 -3.78918341811624e-02
 1.89846947131332e-02 -3.52078910406254e-02
 1.63921917020335e-02 -3.26228845455321e-02
 1.40446346341990e-02 -3.00838061804685e-02
 1.18798249846349e-02 -2.75642982011326e-02
 9.93094518736226e-03 -2.51307806349391e-02
 8.21940795734749e-03 -2.27706932864618e-02
 6.65838622137879e-03 -2.03914864957682e-02
 5.26774192850643e-03 -1.83134465574155e-02
 4.09515753852961e-03 -1.63585220454982e-02
 3.09878859713642e-03 -1.43267521610889e-02
 2.19660773551101e-03 -1.20763101689234e-02
 1.46264176301869e-03 -9.51940163686533e-03
 9.64484608297922e-04 -6.82707224378223e-03
 5.99373867982851e-04 -4.42113651397846e-03
 2.90086645599082e-04 -2.14446509924510e-03
 7.80707788302466e-05 -5.04213042957981e-04
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  5.24032158432460e-04
 2.89878724192004e-04  2.14824265936470e-03
 5.98775316682048e-04  4.98521617001077e-03
 9.63326351634835e-04  8.09676415892212e-03
