                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.193920       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -2.83703003137342e-04
 9.99429683992583e-01 -1.98102835159099e-04
 9.98063017832965e-01  4.47939249136799e-06
 9.95573914266674e-01  3.64225200787212e-04
 9.92086309749559e-01  8.48292294091181e-04
 9.87686148675057e-01  1.42579608302532e-03
 9.82330525170640e-01  2.07880700059033e-03
 9.76011908335692e-01  2.77900065186265e-03
 9.68787467298381e-01  3.48673441321415e-03
 9.60674860259240e-01  4.16388196156413e-03
 9.51675358763677e-01  4.77015906603856e-03
 9.41827652746244e-01  5.25981360918309e-03
 9.31175295355131e-01  5.57740039158700e-03
 9.19730397431178e-01  5.72399495138866e-03
 9.07524559194720e-01  5.96197267753219e-03
 8.94610408070308e-01  5.95797917142524e-03
 8.81009696499435e-01  5.63561710223297e-03
 8.66747905197194e-01  4.97982618321942e-03
 8.51890258171205e-01  4.06874994931181e-03
 8.36469462621421e-01  2.91052846291635e-03
 8.20513485943698e-01  1.42620227485819e-03
 8.04073832217581e-01 -3.61035952114275e-04
 7.87191529885653e-01 -2.43607342272001e-03
 7.69897919101553e-01 -4.84404977992360e-03
 7.52252341235159e-01 -7.52740986925141e-03
 7.34291349178558e-01 -1.05096961445673e-02
 7.16044924955764e-01 -1.40089992993039e-02
 6.97571640033109e-01 -1.74933903950104e-02
 6.78906186433687e-01 -2.07371523946153e-02
 6.60080312620540e-01 -2.41999900478288e-02
 6.41147517137212e-01 -2.80168964672523e-02
 6.22137650968852e-01 -3.19646124180433e-02
 6.03087998194415e-01 -3.59841349681901e-02
 5.84045042118975e-01 -4.00418192362643e-02
 5.65030897687003e-01 -4.40608183910169e-02
 5.46088602779599e-01 -4.80029646119950e-02
 5.27248673916899e-01 -5.18265417862987e-02
 5.08535950506088e-01 -5.55065838884567e-02
 4.89992355470388e-01 -5.89591806576514e-02
 4.71632114506831e-01 -6.21345197987665e-02
 4.53492503744348e-01 -6.49835611217996e-02
 4.35593302897673e-01 -6.74844181869780e-02
 4.17956065616942e-01 -6.96491753034866e-02
 4.00609748442576e-01 -7.14549736670495e-02
 3.83560931606009e-01 -7.29373009113523e-02
 3.66843215733716e-01 -7.41215263171877e-02
 3.50457316320503e-01 -7.49122872762391e-02
 3.34434484008630e-01 -7.54163490543908e-02
 3.18774100329315e-01 -7.56784134958959e-02
 3.03499623121295e-01 -7.56712572814066e-02
 2.88611293565648e-01 -7.54208666229746e-02
 2.74124386665666e-01 -7.49377763913760e-02
 2.60041455523719e-01 -7.43032097509292e-02
 2.46374872015918e-01 -7.35171731847708e-02
 2.33123443938833e-01 -7.25324241017607e-02
 2.20293777810423e-01 -7.13974612045080e-02
 2.07883282965331e-01 -7.01576444423174e-02
