                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.180000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.24204451715748e-30
 9.99429683992583e-01  1.10233054146102e-04
 9.98063017832965e-01  3.70833216173142e-04
 9.95573914266674e-01  8.32412583459946e-04
 9.92086309749559e-01  1.45022253900831e-03
 9.87686148675057e-01  2.18013275510627e-03
 9.82330525170640e-01  2.99128563156618e-03
 9.76011908335692e-01  3.83467889724638e-03
 9.68787467298381e-01  4.64119368917654e-03
 9.60674860259240e-01  5.33587310836406e-03
 9.51675358763677e-01  5.83098230904054e-03
 9.41827652746244e-01  6.02151539722396e-03
 9.31175295355131e-01  5.98315801008862e-03
 9.19730397431178e-01  5.91079364496683e-03
 9.07524559194720e-01  5.80237204549649e-03
 8.94610408070308e-01  5.62494727635494e-03
 8.81009696499435e-01  4.99300665416522e-03
 8.66747905197194e-01  3.92750522590105e-03
 8.51890258171205e-01  2.66077827433216e-03
 8.36469462621421e-01  1.29944092434372e-03
 8.20513485943698e-01 -3.79340735844392e-04
 8.04073832217581e-01 -2.27706930946996e-03
 7.87191529885653e-01 -4.31605819252383e-03
 7.69897919101553e-01 -6.58556529269124e-03
 7.52252341235159e-01 -9.01949881553669e-03
 7.34291349178558e-01 -1.15781622073378e-02
 7.16044924955764e-01 -1.42962065016546e-02
 6.97571640033109e-01 -1.71002945408462e-02
 6.78906186433687e-01 -1.99814110457580e-02
 6.60080312620540e-01 -2.29294318952879e-02
 6.41147517137212e-01 -2.58761558778087e-02
 6.22137650968852e-01 -2.88323212067493e-02
 6.03087998194415e-01 -3.17607123991375e-02
 5.84045042118975e-01 -3.46320276619308e-02
 5.65030897687003e-01 -3.74522773973908e-02
 5.46088602779599e-01 -4.01609363940336e-02
 5.27248673916899e-01 -4.27711768158136e-02
 5.08535950506088e-01 -4.52533424116253e-02
 4.89992355470388e-01 -4.75588989139999e-02
 4.71632114506831e-01 -4.97314781269409e-02
 4.53492503744348e-01 -5.16985795458383e-02
 4.35593302897673e-01 -5.34575548328605e-02
 4.17956065616942e-01 -5.50492626631138e-02
 4.00609748442576e-01 -5.63750613398386e-02
 3.83560931606009e-01 -5.75382239701128e-02
 3.66843215733716e-01 -5.85146706964785e-02
 3.50457316320503e-01 -5.91187114969090e-02
 3.34434484008630e-01 -5.95113379164214e-02
 3.18774100329315e-01 -5.97939595876052e-02
 3.03499623121295e-01 -5.98999945460288e-02
 2.88611293565648e-01 -5.97907056505226e-02
 2.74124386665666e-01 -5.95236839073115e-02
 2.60041455523719e-01 -5.91765791452768e-02
 2.46374872015918e-01 -5.87653765573736e-02
 2.33123443938833e-01 -5.81539747980910e-02
 2.20293777810423e-01 -5.74056474047130e-02
 2.07883282965331e-01 -5.65943936753110e-02
 1.95902956391646e-01 -5.57273097049212e-02
 1.84341253066628e-01 -5.47346195791153e-02
 1.73213930954161e-01 -5.36567624388635e-02
 1.62499176129638e-01 -5.25283683706292e-02
 1.52214602777259e-01 -5.13766611092141e-02
 1.42331759398971e-01 -5.01648853492396e-02
 1.32872111539190e-01 -4.89000817875128e-02
 1.23806439629760e-01 -4.75961854717139e-02
 1.15147623386077e-01 -4.62709064007910e-02
 1.06887208802748e-01 -4.49372929132220e-02
 9.90071115215634e-02 -4.35609681195675e-02
 9.15234043853440e-02 -4.21192274645750e-02
 8.43970428172224e-02 -4.06435562264278e-02
 7.76464790199521e-02 -3.91671027178098e-02
 7.12479082120208e-02 -3.76845235444684e-02
 6.51878662973747e-02 -3.61862327912375e-02
 5.94874721274203e-02 -3.46772208326226e-02
 5.41002464180900e-02 -3.31504388613829e-02
 4.90378786701877e-02 -3.16283257830777e-02
 4.43003497573340e-02 -3.01143174812308e-02
 3.98423597346805e-02 -2.85961027367473e-02
 3.56899752436130e-02 -2.70885758045598e-02
 3.18292350050659e-02 -2.55965796061673e-02
 2.82200072057900e-02 -2.41082335944138e-02
 2.48925247792698e-02 -2.26156550456094e-02
 2.18286683030035e-02 -2.11174250602485e-02
 1.89846947131332e-02 -1.96049196226821e-02
 1.63921917020335e-02 -1.81057886406016e-02
 1.40446346341990e-02 -1.65447419485435e-02
 1.18798249846349e-02 -1.49534226345446e-02
 9.93094518736226e-03 -1.34495855755353e-02
 8.21940795734749e-03 -1.18902566694535e-02
 6.65838622137879e-03 -1.04875424066715e-02
 5.26774192850643e-03 -9.25124328372049e-03
 4.09515753852961e-03 -8.01724088742871e-03
 3.09878859713642e-03 -6.70601911576446e-03
 2.19660773551101e-03 -5.22513582298540e-03
 1.46264176301869e-03 -3.76317456111066e-03
 9.64484608297922e-04 -2.61818086994193e-03
 5.99373867982851e-04 -1.69238361180713e-03
 2.90086645599082e-04 -8.46851056696012e-04
 7.80707788302466e-05 -2.33175029492515e-04
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  3.10216509126340e-04
 2.89878724192004e-04  1.81327316237295e-03
 5.98775316682048e-04  5.21240416054335e-03
 9.63326351634835e-04  9.88427048364969e-03
 1.45966821282819e-03  1.46747404453750e-02
 2.19097636449990e-03  1.66671705861036e-02
 3.08997841959778e-03  1.80355160258280e-02
 4.08271112470316e-03  1.95272847788900e-02
 5.24853124383664e-03  2.12945018796049e-02
 6.63128223001261e-03  2.32299448805101e-02
 8.18368429859057e-03  2.51603511964191e-02
 9.88361416849065e-03  2.70779256731787e-02
 1.18176401547236e-02  2.91122813990496e-02
 1.39661993216830e-02  3.12123062454680e-02
 1.62951420791042e-02  3.33298514269861e-02
 1.88631937781153e-02  3.55149357916868e-02
 2.16807137532775e-02  3.77838388056360e-02
 2.47159162958630e-02  4.01087651341115e-02
 2.80064400105864e-02  4.25026115223994e-02
 3.15762558914965e-02  4.49668144513258e-02
 3.53948396168776e-02  4.74698429981356e-02
 3.94949825480075e-02  5.00294077238538e-02
 4.38979282781582e-02  5.26611923754065e-02
 4.85758075737765e-02  5.53287780074002e-02
 5.35679916138118e-02  5.80209207362918e-02
 5.88818211488708e-02  6.07353568566523e-02
 6.45001629027313e-02  6.34647892795890e-02
 7.04692046391145e-02  6.62402180147742e-02
 7.67740309924709e-02  6.90462909261670e-02
 8.34162127168367e-02  7.18529245747171e-02
 9.04290195190656e-02  7.46380520416606e-02
 9.77906533229447e-02  7.73724688234756e-02
 1.05536187198748e-01  8.01370856417774e-02
 1.13658760041779e-01  8.29217735650637e-02
 1.22161483318940e-01  8.57050111851951e-02
 1.31067498602735e-01  8.84686098036267e-02
 1.40354649921884e-01  9.11771013635164e-02
 1.50055110786138e-01  9.38240689227405e-02
 1.60148962661562e-01  9.64358415841795e-02
 1.70658187899640e-01  9.89976215282045e-02
 1.81574957422924e-01  1.01477890959131e-01
 1.92907571409635e-01  1.03845641395292e-01
 2.04657634577812e-01  1.06108047589264e-01
 2.16817353069424e-01  1.08299591986679e-01
 2.29396483963478e-01  1.10376405259442e-01
 2.42377800694080e-01  1.12281787255465e-01
 2.55773624268338e-01  1.14023453128731e-01
 2.69566785632899e-01  1.15677487413778e-01
 2.83765797226135e-01  1.17153126341669e-01
 2.98347982887804e-01  1.18339769131570e-01
 3.13318978785268e-01  1.19433211741296e-01
 3.28658461892810e-01  1.20386701053636e-01
 3.44364941645546e-01  1.20885451183602e-01
 3.60419773725681e-01  1.20877393797060e-01
 3.76811233766957e-01  1.20791647257282e-01
 3.93525251020729e-01  1.20649236433651e-01
 4.10538642553571e-01  1.20265969825496e-01
 4.27843232490823e-01  1.19274457247627e-01
 4.45406663468198e-01  1.17980990591518e-01
 4.63222254103030e-01  1.16523502057585e-01
 4.81251545655716e-01  1.14665190465710e-01
 4.99481026671737e-01  1.12561368566128e-01
 5.17879583085697e-01  1.10218633484078e-01
 5.36417631367010e-01  1.07570288833953e-01
 5.55075704909560e-01  1.04715108228383e-01
 5.73808427242608e-01  1.01611359205230e-01
 5.92596731105059e-01  9.82728334955023e-02
 6.11401377553511e-01  9.47538052008237e-02
 6.30186430605241e-01  9.10115754837699e-02
 6.48926781663159e-01  8.71145467097394e-02
 6.67570206424973e-01  8.31054227949086e-02
 6.86088429590952e-01  7.89667769096808e-02
 7.04445389043917e-01  7.47490763989393e-02
 7.22592093722966e-01  7.04507570633921e-02
 7.40501800453524e-01  6.61002368598614e-02
 7.58125457122835e-01  6.17602762564730e-02
 7.75421014376153e-01  5.74245801898822e-02
 7.92362373587600e-01  5.31286210003295e-02
 8.08894546151696e-01  4.89240432721718e-02
 8.24974633014891e-01  4.48088559261089e-02
 8.40576952273409e-01  4.08025436716522e-02
 8.55652758808818e-01  3.69347670486392e-02
 8.70162898882712e-01  3.32024367452713e-02
 8.84085033071272e-01  2.96235778702236e-02
 8.97361214262371e-01  2.62329789432114e-02
 9.09954680076662e-01  2.30590568914872e-02
 9.21851471402547e-01  2.01010540594137e-02
 9.33012836658427e-01  1.73309518517807e-02
 9.43389278969050e-01  1.47340334295295e-02
 9.52973153850560e-01  1.22923146644046e-02
 9.61743130827061e-01  1.00433878856059e-02
 9.69640690675464e-01  8.00388506488087e-03
 9.76664215898664e-01  6.17700627465033e-03
 9.82815077112014e-01  4.56581614267092e-03
 9.88028440045103e-01  3.19118809185156e-03
 9.92304836603751e-01  2.05700381038397e-03
 9.95693518775914e-01  1.15379768181173e-03
 9.98120489340015e-01  5.04400121959901e-04
 9.99443037908705e-01  1.49608128332647e-04
 1.00000000000000e+00  6.20028117388906e-19
